Key	Type	Desc	Українська [c0]
Items/LarvaskinRugRed	Text		Килимок з личинок вулика
Items/LarvaskinRugRedDesc	Text		Цей грубий килимок подвійно слугує трофеєм для впольованої личинки бджолиного вулика, яка надала свою шкіру.
Items/LarvaskinTent	Text		Намет для личинок
Items/LarvaskinTentDesc	Text		На цей простий тип житла, мабуть, пішло багато шкурок личинок. Також сюди вкинули шматки інших істот.
Items/LavaAxe	Text		Бойова сокира з лави
Items/LavaAxeDesc	Text		Тліюча, важка зброя, яка виглядає так, ніби її щойно вийняли з кузні.
Items/LavaBreastArmor	Text		Магматичний панцир
Items/LavaBreastArmorDesc	Text		Ця вогняна броня майже занадто гаряча, щоб нею можна було користуватися, але після носіння вона добре загартовується.
Items/LavaButterfly	Text		Метелик лави
Items/LavaButterflyTrophy	Text		Фігурка лавового метелика
Items/LavaButterflyTrophyDesc	Text		Реалістичне зображення лавового метелика
Items/LavaHelm	Text		Броня з магматичного рогу
Items/LavaHelmDesc	Text		Досить приголомшливий елемент екіпіровки, який робить вас схожим на провісника загибелі.
Items/LavaPantsArmor	Text		Магматична гомілкова броня
Items/LavaPantsArmorDesc	Text		Броня для ніг, що плавиться, виготовлена з рідкого каменю, що надає гарячим ногам абсолютно нового вигляду.
Items/LavaPost1	Text		Зламаний кар'єрний ліс
Items/LavaPost1Desc	Text		Половина зламаної дерев'яної конструкції, яка, здається, колись щось тримала на місці.
Items/LavaPost2	Text		Великий кар'єрний брус
Items/LavaPost2Desc	Text		Дерев'яна конструкція, яку використовували для зберігання руди та каміння над вогнищем. Сплеск температури зробив її непридатною для використання.
Items/LavaRock	Text		Лавовий камінь
Items/LavaRockDesc	Text		Ви не знаєте, навіщо ви це зробили... але принаймні тепер у вас є дуже гарячий камінь.
Items/LavaShield	Text		Спопеляючий Егідою
Items/LavaShieldDesc	Text		Кора розплавленої породи, сформована для використання як щит.
Items/LavaSlime	Text		Магматичний слиз
Items/LavaSlimeBlob	Text		Лавовий слиз
Items/LavaSlimeBossChest	Text		Скриня Ігнеуса
Items/LavaSlimeBossChestDesc	Text		Вкрита магмою скриня, що нагадує розплавлену масу.
Items/LavaSlimeBossScanner	Text		Сканер розплавленої маси Ігнеуса
Items/LavaSlimeBossScannerDesc	Text		Сканує світ у пошуках розплавленої магми. Витрачається при успішному скануванні.
Items/LavaSlimeDesc	Text		Темний згусток полум'яного слизу. Можна додатково переробити.
